Name,Path,Type,Size (bytes),Modification Time
00002.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00002.json,File,652.0,2024-10-02 22:49:37
00003.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00003.json,File,593.0,2024-10-02 22:49:37
00004.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00004.json,File,897.0,2024-10-02 22:49:37
00005.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00005.json,File,700.0,2024-10-02 22:49:37
00006.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00006.json,File,728.0,2024-10-02 22:49:37
00007.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00007.json,File,754.0,2024-10-02 22:49:37
00008.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00008.json,File,698.0,2024-10-02 22:49:37
00009.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00009.json,File,795.0,2024-10-02 22:49:37
00010.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00010.json,File,684.0,2024-10-02 22:49:37
00011.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00011.json,File,552.0,2024-10-02 22:49:37
00012.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00012.json,File,837.0,2024-10-02 22:49:37
00013.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00013.json,File,780.0,2024-10-02 22:49:37
00014.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00014.json,File,840.0,2024-10-02 22:49:37
00015.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00015.json,File,710.0,2024-10-02 22:49:37
00016.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00016.json,File,746.0,2024-10-02 22:49:37
